,user,text,created_at
0,1641297944782733312,"@digitalwave0 @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:10:32+00:00
1,1641337745263173632,"@0xAmix @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:10:29+00:00
2,1662149191005511680,Check out my item listing on OpenSea! https://t.co/00PUKyqbLl via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:29+00:00
3,1641297944782733312,"@XCrusaders_RTS @Equilibrium_G @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:10:25+00:00
4,1662149191005511680,Check out my item listing on OpenSea! https://t.co/6dQbhLYHyu via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:23+00:00
5,1250775522604351489,"""@unusual_whales"" ""Conjoined twins,"" Elon says, but I'm thinking more like an awkward three-legged race. Either way, we're stumbling together. Kudos to unusual_whales for always keeping us informed! #UnitedStates #China #ElonMusk",2023-06-01 11:10:23+00:00
6,1641337745263173632,"@RPGAIerc @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:10:18+00:00
7,1662149191005511680,Check out my item listing on OpenSea! https://t.co/2Dr6ypZl5c via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:18+00:00
8,1641297944782733312,"@crazycarswax @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:10:17+00:00
9,1662149191005511680,Check out my item listing on OpenSea! https://t.co/Uj9g270JzM via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:13+00:00
10,213230769,"Elon Musk is once again worldâ€™s richest person
https://t.co/rDFIw1EpbG #Tech #ElonMusk #WorldsRichestPerson",2023-06-01 11:10:11+00:00
11,1641297944782733312,"@MatthwNFT @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:10:10+00:00
12,1641337745263173632,"@Hermes_DEX @0xhares @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:10:09+00:00
13,1662149191005511680,Check out my item listing on OpenSea! https://t.co/JgmlKeWon9 via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:07+00:00
14,1641297944782733312,"@LefanderETH @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:10:04+00:00
15,1662149191005511680,Check out my item listing on OpenSea! https://t.co/K04V4MI8wl via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:10:01+00:00
16,990761677,"Column | #Tesla's cheapest model will cost probably Rs 30-35 lakh in India so it will be irrelevant for the mass market. But #ElonMusk can't ignore a country of 1.4bn people rapidly getting richer. Tesla needs to establish itself in India now itself

https://t.co/pTxK3sOmzf",2023-06-01 11:10:00+00:00
17,1662149191005511680,Check out my item listing on OpenSea! https://t.co/HRRDP3NO2y via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:09:54+00:00
18,1662149191005511680,Check out my item listing on OpenSea! https://t.co/PXDBR1Umtf via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:09:48+00:00
19,1662149191005511680,Check out my item listing on OpenSea! https://t.co/mXjdJ9IUGM via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:09:42+00:00
20,1641297944782733312,"@debowale_farms @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:09:37+00:00
21,1587199306053947392,"Elon Musk told officials in Beijing that he's opposed to the US and China weakening economic ties, according to the Chinese Foreign Ministry.
#economy #ElonMusk 

https://t.co/PN3jir1RvN",2023-06-01 11:09:36+00:00
22,1662149191005511680,Check out my item listing on OpenSea! https://t.co/ihVEx0kZUw via @opensea #elonmusk #Bitcoin #ethereum #Photoshop #NFTProject #biple #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance #opensea,2023-06-01 11:09:36+00:00
23,1662149191005511680,Check out my item listing on OpenSea! https://t.co/S2k5qpkr92 via @opensea #elonmusk  #Bitcoin #ethereum  #Photoshop #NFTProject  #biple  #art #ART #Solana #BitMart #DropYourNFT @RealmissNFT #Coinbase #binance  #opensea,2023-06-01 11:09:29+00:00
24,1535367759768473601,"This #Lithium train isn't slowing down. Global demand will continue to soar as #Tesla #ElonMusk find greater competition in the #EVs space.

Good job #PREM own an already producing #SC6 mine with the likes of #Suzhou and the completion lining up. 

https://t.co/4QixewJbAL",2023-06-01 11:09:25+00:00
25,1641297944782733312,"@CurlewSLakes @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:09:14+00:00
26,1641297944782733312,"@ArtEthiopic @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:51+00:00
27,1641308898232782854,"@designcollector @0xCyberia @foundation @BlockchainProfs @thecgritual @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:08:50+00:00
28,1222096435086155776,"@elonmusk Surpasses #louisvuitton CEO Bernard Arnault to Become the Wealthiest Person in the World
#richest #ElonMusk https://t.co/aKxttOqgNB",2023-06-01 11:08:48+00:00
29,354300504,@mkraju Twitter is now worth $15 billion after #ElonMusk paid $44 billion to promote hate speech &amp; silence liberals. Heâ€™s tried to turn it into a conservative â€œfree speechâ€  zone that have caused MILLIONS to leave. #BlueSky https://t.co/8ISOrpZ4sT,2023-06-01 11:08:48+00:00
30,1641297944782733312,"@jordanpooledude @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:42+00:00
31,1641297944782733312,"@RohanMagdum7 @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:31+00:00
32,1641308898232782854,"@nelygarcia3 @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:08:25+00:00
33,1641297944782733312,"@sehgalfdn @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:21+00:00
34,1641317353395826690,"@egamers_io I recently joined this project, and I really hope that you will not fail. I analyzed your project in advance and decided that it was very promising and worth my attention!
@Theagriverse
 $AV #Theagriverse #Elonmusk #BscchainÂ #NFTÂ #Gems #PEPECOIN $PEPE",2023-06-01 11:08:19+00:00
35,1641308898232782854,"@gorkemsusantez @EnderYl95194847 @melikbayram_ @Celalettiniek4 @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:08:14+00:00
36,1641297944782733312,"@gigadgets_ @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:14+00:00
37,49616273,"Chen Jining, secretary of the CPC Shanghai Municipal Committee, met with #ElonMusk in Shanghai on Thursday. Chen told Musk that #Tesla's development in the city has been quite ""fruitful"" and welcomed the US giant to further expand its business investment in China's financial hub. https://t.co/5gCBz7R5tr",2023-06-01 11:08:11+00:00
38,1641297944782733312,"@jordanpooledude @tize4PF @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:08:06+00:00
39,1641308898232782854,"@dkrgkstls @anotherworldgm @Kei_AWM @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:08:04+00:00
40,1641297944782733312,"@kamanzi_claudin @SangwaSifa @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:07:58+00:00
41,1641297944782733312,"@Spacewenchang @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:07:51+00:00
42,1641317353395826690,"@ARQxAI The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #BscchainÂ #NFTÂ #Gems #PEPECOIN $PEPE",2023-06-01 11:07:42+00:00
43,55186601,"#NSTworld Since his arrival in #China on Tuesday morning, the U.S. billionaire has been showered with praise by the Chinese public. 

https://t.co/sWDkP0rJdo

#ElonMusk",2023-06-01 11:07:36+00:00
44,1641308898232782854,"@eyadshamalet @McDonalds @Cuberium @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:07:24+00:00
45,1641317353395826690,"@indianweb2 @adlittle @adlittleindia The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #BscchainÂ #NFTÂ #Gems #PEPECOIN $PEPE",2023-06-01 11:07:20+00:00
46,1641297944782733312,"@moneyraineth @TheAgriverse
 great project, with an experienced and successful team. I think this project will go a step further and can complete the plan.
@Theagriverse
 $AV #Theagriverse #Elonmusk #Bscchain #NFT #Gems #PEPECOIN $PEPE",2023-06-01 11:07:14+00:00
47,1641308898232782854,"@EnthuMetaverse @CryptoGods44 @PlayZapGames @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:07:11+00:00
48,1641317353395826690,"@web3br_io The project has certain tasks and an excellent team that knows how to maintain and increase the profitability of the platform and investors, a wonderful project!
@Theagriverse
 $AV #Theagriverse #Elonmusk #BscchainÂ #NFTÂ #Gems #PEPECOIN $PEPE",2023-06-01 11:07:00+00:00
49,1354902064476934148,Can't wait to have my own slave... Errr I  mean #OPTIMUS robot ğŸ˜‰ğŸ˜ #ElonMusk https://t.co/fba6XbElTt,2023-06-01 11:06:41+00:00
50,1641337745263173632,"@RenoviHub @most_mojo @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:06:37+00:00
51,1641308898232782854,"@0xjencityx_win @Metaverse_SC @Theagriverse
 $AV #Theagriverse #Elonmusk #PEPECOIN $PEPE #Bscchain #NFT #Gems A good   strong team, a serious project and a large scale. I'm sure this project will   always to be successful soon. And this is good idea to contributeÂ withÂ them",2023-06-01 11:06:22+00:00
